unix_time,st_marker_id,count,latitude,longitude
1462140000,10001S,1,-37.8235959027,144.969470301
1462140000,10003S,2,-37.8236151957,144.969403494
1462140000,10005S,1,-37.8236323473,144.969343969
1462140000,10007S,1,-37.8236485612,144.969287978
1462140000,10011S,1,-37.8236854429,144.969157738
1462140000,10013S,1,-37.8237042453,144.969093502
1462140000,10015S,1,-37.8237225144,144.969029813
1462140000,10017S,1,-37.8237407611,144.968966338
1462140000,1002E,1,-37.8181382054,144.962781612
1462140000,10032N,1,-37.8232411395,144.966774728
1462140000,10034N,1,-37.8232301641,144.966705373
1462140000,10036N,1,-37.8232193833,144.966635811
1462140000,10038N,1,-37.8232087264,144.966566807
1462140000,10044N,2,-37.8230740652,144.965754801
1462140000,10046N,1,-37.8230628582,144.965688719
1462140000,1006E,1,-37.8180898936,144.962759787
1462140000,10116E,1,-37.8033618943,144.948178477
1462140000,10118E,1,-37.8033077971,144.948188159
1462140000,10120E,1,-37.8032514896,144.948198266
1462140000,10122E,1,-37.8031915171,144.948209001
1462140000,10124E,1,-37.8031392558,144.948218386
1462140000,10153W,1,-37.8048179331,144.949217727
1462140000,10155W,1,-37.8047626984,144.949227771
1462140000,10159W,1,-37.804653929,144.949247549
1462140000,10160E,1,-37.8046431874,144.949438537
1462140000,10162E,1,-37.8045914745,144.949447636
1462140000,10166E,1,-37.8044705732,144.949468831
1462140000,10167W,1,-37.8044041844,144.949289797
1462140000,10169W,1,-37.804350645,144.949299231
1462140000,10171W,1,-37.8042971083,144.949308665
1462140000,10173W,1,-37.8042462483,144.949317627
1462140000,10176E,1,-37.8041589815,144.949523021
1462140000,10177W,1,-37.8041488771,144.949334903
1462140000,10178E,1,-37.8041045145,144.949532613
1462140000,10179W,1,-37.8040942847,144.9493444
1462140000,10180E,1,-37.8040527481,144.949541744
1462140000,10181W,1,-37.8040405214,144.949353849
1462140000,10182E,1,-37.8040018352,144.949550713
1462140000,10183W,2,-37.8039865387,144.949363364
1462140000,10184E,1,-37.8039488918,144.949560046
1462140000,10185W,1,-37.8039327796,144.949372839
1462140000,10186E,1,-37.8038968514,144.94956922
1462140000,10188E,1,-37.8038457687,144.949578221
1462140000,10189W,1,-37.8038268216,144.94939151
1462140000,10191W,3,-37.8037754266,144.949400564
1462140000,10192E,1,-37.8037384719,144.949597131
1462140000,10194E,1,-37.8036858149,144.949606408
1462140000,10195W,1,-37.803664377,144.949420151
1462140000,10197W,3,-37.8036096349,144.949429765
1462140000,10198E,5,-37.8035797308,144.949625106
1462140000,10199W,3,-37.8035552055,144.949439394
1462140000,101W,1,-37.8082536741,144.971484851
1462140000,102E,1,-37.8086975892,144.971938914
1462140000,103W,1,-37.8080633892,144.971397142
1462140000,105W,4,-37.8080151221,144.971375042
1462140000,106E,3,-37.8085842104,144.971887367
1462140000,10E,1,-37.8147454175,144.974729789
1462140000,110E,1,-37.8085342546,144.971864117
1462140000,1110E,1,-37.8154248821,144.961021266
1462140000,114E,1,-37.8084833686,144.971840691
1462140000,11501S,1,-37.8115462749,144.953129514
1462140000,11524N,4,-37.8119144268,144.951412165
1462140000,11526N,3,-37.8119439504,144.951307608
1462140000,11528N,1,-37.8119612397,144.951246571
1462140000,11537S,3,-37.8120533053,144.951336084
1462140000,11601S,2,-37.8107845582,144.951702585
1462140000,11603S,1,-37.8108042506,144.951633063
1462140000,11605S,1,-37.8108419408,144.951499998
1462140000,11607S,3,-37.8108631164,144.951425119
